,zone,year,capacity_retention_pct,eta_effective,e_mwh_effective,cycles,throughput_mwh,revenue_nominal_eur,revenue_discounted_eur
0,NO1,1,99.0,0.92,198.0,382.13955658585854,151327.264408,2549096.72762657,2360274.7478023795
1,NO1,2,96.04465110853535,0.92,192.0893022170707,385.5061912001633,148103.23053600002,2497782.75200951,2141446.117977975
2,NO1,3,93.08088563053494,0.92,186.16177126106987,389.09711205110136,144870.015144,2446322.6799306106,1941969.8152677836
3,NO1,4,90.10814285040718,0.92,180.21628570081435,392.93620269902163,141627.00593559997,2394706.688111446,1760180.9044532382
4,NO1,5,87.12580234365964,0.92,174.2516046873193,397.0509393767144,138373.52665800002,2342924.077041766,1594554.75876044
5,NO1,6,84.13317499521786,0.92,168.2663499904357,400.8873452893831,134911.70069839997,2286761.870429283,1441047.8746589315
6,NO1,7,81.1309566319944,0.92,162.2619132639888,404.76831141994916,131356.96127926998,2228675.966745198,1300411.0207473736
7,NO2,1,99.0,0.92,198.0,326.56193294444444,129318.525446,2477143.7006308325,2293651.5746581783
8,NO2,2,96.18359516763888,0.92,192.36719033527777,329.2195629380457,126662.0846516,2429649.948792988,2083033.2208444683
9,NO2,3,93.36054626029377,0.92,186.72109252058755,332.04437478676397,123999.37685100001,2382044.1739232675,1890943.4647945461
10,NO2,4,90.53043532332687,0.92,181.06087064665374,335.0530904390698,121330.0085355,2334319.303385293,1715794.3739472113
11,NO2,5,87.69280259722919,0.92,175.38560519445838,338.2647770492429,118653.5452775,2286467.5697323,1556131.408522404
12,NO2,6,84.84714065460608,0.92,169.69428130921216,341.3827325550253,115861.3949046,2235598.585279075,1408806.326345711
13,NO2,7,81.99368382321852,0.92,163.98736764643704,344.38658416398476,112950.0987796,2181618.2242252585,1272953.2799642703
14,NO3,1,99.0,0.92,198.0,485.65065287878787,192317.65854,1173500.1615275424,1086574.2236366132
15,NO3,2,95.78587336780303,0.92,191.57174673560607,493.1185718652843,188935.17232,1147764.9157278049,984023.4188338518
16,NO3,3,92.55307693813981,0.92,185.10615387627962,501.15307856081785,185533.0377513,1121880.1748268618,890584.6533389074
17,NO3,4,89.30019424173777,0.92,178.60038848347554,509.8246614258321,182109.76517822,1095834.6139553548,805471.1549848627
18,NO3,5,86.0256325881732,0.92,172.0512651763464,519.1138078017105,178628.37480559002,1069446.7344420643,727847.477583887
19,NO3,6,82.72784806866892,0.92,165.45569613733784,527.7514190029442,174638.9568372,1040562.89670583,655731.1323655153
20,NO4,1,99.0,0.92,198.0,452.7078321616162,179272.301536,612273.3645470975,566919.7819880532
21,NO4,2,95.86823041959596,0.92,191.73646083919192,460.1607804834656,176459.19893379998,598905.01261683,513464.5169897376
22,NO4,3,92.71782846838728,0.92,185.43565693677456,468.1547658514743,173625.1731075,585457.1152173525,464754.7337941946
23,NO4,4,89.5474415537586,0.92,179.0948831075172,476.7506452305569,170767.202158,571923.8828791025,420381.12744340266
24,NO4,5,86.35556494068221,0.92,172.71112988136443,486.01861092657487,167881.646873,558298.5764559575,379968.6300637887
25,NO4,6,83.14051841336578,0.92,166.28103682673157,495.2348587834377,164696.33158250002,543694.2511949937,342619.60341403814
26,NO5,1,99.0,0.92,198.0,333.32794131060604,131997.864759,1488575.594114285,1378310.7352910044
27,NO5,2,96.16668014672348,0.92,192.33336029344696,337.01734269085347,129639.3559938,1461103.940551465,1252661.1287306796
28,NO5,3,93.32413678999634,0.92,186.6482735799927,340.9404025927261,127271.87507519999,1433542.565199916,1137992.307130452
29,NO5,4,90.47178578351453,0.92,180.94357156702907,345.11572825104327,124892.94494740001,1405885.4021523742,1033367.7401927421
30,NO5,5,87.60899646288694,0.92,175.21799292577387,349.5797060650497,122505.30892859999,1378127.0078240219,937930.0849034326
31,NO5,6,84.7350471977243,0.92,169.4700943954486,353.83343312671474,119928.37062449999,1348493.2177757774,849779.4679001587
32,NO5,7,81.85046361490753,0.92,163.70092722981505,357.925312846844,117185.4111841,1317156.7672690642,768548.3227560206
